"industria","ingresos_anuales","utilidad_neta","ebitda","crecimiento_industria","saldo_promedio_mensual","saldo_promedio_semestral","saldo_promedio_anual","ingresos_cuenta","Egresos","Deposito cuenta propia","impacto_cluster"
"Servicios Financieros",-0.433454243503077,-0.433454243503077,-0.456712425509115,-0.176082930010546,-0.433454243503077,-0.383945745647627,-0.433454243503077,-0.418870938352258,-0.453270274041034,-0.165576370267422,"Bajo"
"Servicios Financieros",-0.425390602065326,-0.425390602065326,-0.477140941688652,-0.176082930010546,-0.425390602065326,-0.3856932758933,-0.425390602065326,-0.418004453043985,-0.4578619402907,-0.165645519344704,"Bajo"
"Servicios Financieros",-0.431599605972395,-0.431599605972394,-0.459522991586213,1.90885887041163,-0.431599605972395,-0.385089290785349,-0.431599605972395,-0.419260459270656,-0.459241186046303,-0.165576370267422,"Medio"
"Servicios Financieros",-0.432647879359302,-0.432647879359302,-0.473204979330109,1.90885887041163,-0.432647879359302,-0.38582615261705,-0.432647879359302,-0.417257208833181,-0.457041376360151,-0.165645519344704,"Medio"
"Servicios Financieros",-0.428616058640427,-0.428616058640426,-0.480668041260953,0.00478741545194564,-0.428616058640427,-0.38432826954933,-0.428616058640427,-0.415325503054187,-0.454920131305648,-0.16550722119014,"Bajo"
"Servicios Financieros",-0.436155563384724,-0.436155563384724,2.2497895910743,0.00478741545194564,-0.436155563384724,-0.385850312021368,-0.436155563384724,-0.415969404980518,-0.455627212990482,-0.165645519344704,"Bajo"
"Servicios Financieros",-0.435018589942001,-0.435018589942001,-0.475228235950439,0.00478741545194564,-0.435018589942001,-0.385101370487508,-0.435018589942001,-0.415134717298237,-0.454710625621252,-0.165576370267422,"Bajo"
"Servicios Financieros",-0.434542835097174,-0.434542835097174,-0.463181699351511,-0.669365690362794,-0.434542835097174,-0.38356724831331,-0.434542835097174,-0.415818366257058,-0.455461354323669,-0.165299773958295,"Bajo"
"Servicios Financieros",-0.434937953527624,-0.434937953527624,-0.444565281758207,-0.176082930010546,-0.434937953527624,-0.384714820018419,-0.434937953527624,-0.41691538435377,-0.456666012008942,-0.165645519344704,"Bajo"
"Servicios Financieros",-0.423326309857262,-0.423326309857261,2.60855352518223,-0.669365690362794,-0.423326309857262,-0.377793150681291,-0.423326309857262,-0.403830661258196,-0.442297413820825,-0.164746581340041,"Bajo"
"Servicios Financieros",-0.433938061989343,-0.433938061989342,-0.436485708558838,1.90885887041163,-0.433938061989343,-0.384412827464443,-0.433938061989343,-0.414618005875872,-0.454143214392681,-0.16550722119014,"Medio"
"Servicios Financieros",-0.433430052578764,-0.433430052578764,-0.47852721465488,0.00478741545194564,-0.433430052578764,-0.384171233421262,-0.433430052578764,-0.415373199493174,-0.454404740195991,-0.165576370267422,"Bajo"
"Servicios Financieros",-0.433357479805824,-0.433357479805824,-0.452837295382001,0.00478741545194564,-0.433357479805824,-0.385234247211257,-0.433357479805824,-0.412821440007342,-0.445469928470241,-0.165576370267422,"Bajo"
