Modelo,Hiperparámetro,Valor,Accuracy,Precision,Recall,F1-Score,TP,FP,FN,TN,max_depth
RandomForestClassifier,n_estimators,5,0.76,0.8333333333333334,0.5,0.625,5,1,5,14,
RandomForestClassifier,n_estimators,5,0.76,0.8333333333333334,0.5,0.625,5,1,5,14,5
RandomForestClassifier,n_estimators,5,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,10
RandomForestClassifier,n_estimators,5,0.68,0.75,0.3,0.42857142857142855,3,1,7,14,15
RandomForestClassifier,n_estimators,5,0.68,0.75,0.3,0.42857142857142855,3,1,7,14,20
RandomForestClassifier,n_estimators,10,0.72,1.0,0.3,0.46153846153846156,3,0,7,15,
RandomForestClassifier,n_estimators,10,0.72,0.8,0.4,0.5333333333333333,4,1,6,14,5
RandomForestClassifier,n_estimators,10,0.68,0.75,0.3,0.42857142857142855,3,1,7,14,10
RandomForestClassifier,n_estimators,10,0.76,1.0,0.4,0.5714285714285714,4,0,6,15,15
RandomForestClassifier,n_estimators,10,0.6,0.5,0.1,0.16666666666666666,1,1,9,14,20
RandomForestClassifier,n_estimators,15,0.76,0.8333333333333334,0.5,0.625,5,1,5,14,
RandomForestClassifier,n_estimators,15,0.76,0.8333333333333334,0.5,0.625,5,1,5,14,5
RandomForestClassifier,n_estimators,15,0.68,0.6666666666666666,0.4,0.5,4,2,6,13,10
RandomForestClassifier,n_estimators,15,0.8,0.7777777777777778,0.7,0.7368421052631579,7,2,3,13,15
RandomForestClassifier,n_estimators,15,0.72,0.7142857142857143,0.5,0.5882352941176471,5,2,5,13,20
RandomForestClassifier,n_estimators,20,0.76,0.8333333333333334,0.5,0.625,5,1,5,14,
RandomForestClassifier,n_estimators,20,0.68,0.75,0.3,0.42857142857142855,3,1,7,14,5
RandomForestClassifier,n_estimators,20,0.68,0.75,0.3,0.42857142857142855,3,1,7,14,10
RandomForestClassifier,n_estimators,20,0.68,1.0,0.2,0.3333333333333333,2,0,8,15,15
RandomForestClassifier,n_estimators,20,0.76,0.75,0.6,0.6666666666666666,6,2,4,13,20
RandomForestClassifier,n_estimators,25,0.76,0.8333333333333334,0.5,0.625,5,1,5,14,
RandomForestClassifier,n_estimators,25,0.68,0.75,0.3,0.42857142857142855,3,1,7,14,5
RandomForestClassifier,n_estimators,25,0.64,0.6,0.3,0.4,3,2,7,13,10
RandomForestClassifier,n_estimators,25,0.76,0.8333333333333334,0.5,0.625,5,1,5,14,15
RandomForestClassifier,n_estimators,25,0.76,0.8333333333333334,0.5,0.625,5,1,5,14,20
