Client,Recency,Frequency,Monetary,RFM_Score,Cluster_KMeans
6695,137,2,0.0,331,4
6873,109,2,0.0,321,4
6611,386,2,0.0,121,4
7043,383,2,0.0,121,4
6564,380,2,0.0,121,4
6681,555,2,0.0,111,4
6690,157,5,0.0,341,4
6985,343,4,0.0,141,4
7044,550,2,0.0,111,4
6926,396,2,0.0,121,4
6749,555,3,0.0,131,4
6750,297,2,0.0,211,4
6732,492,2,0.0,111,4
7047,290,5,0.0,241,4
6550,625,2,0.0,121,4
7041,453,2,0.0,111,4
6665,302,3,0.0,241,4
6894,163,2,0.0,311,4
7051,634,2,0.0,121,4
6598,502,2,0.0,111,4
7064,171,2,0.0,311,4
6941,387,2,0.0,121,4
6587,318,2,0.0,221,4
6918,215,3,0.0,241,4
6968,295,2,0.0,211,4
6923,397,3,0.0,131,4
7167,304,2,0.0,221,4
7030,769,2,0.0,111,4
6845,391,2,0.0,121,4
7075,549,4,0.0,141,4
6908,599,2,0.0,121,4
7101,186,2,0.0,311,4
6614,131,2,0.0,331,4
6608,335,2,0.0,121,4
7130,192,2,0.0,211,4
6885,389,2,0.0,121,4
6984,282,2,0.0,211,4
7083,633,2,0.0,121,4
6555,170,2,0.0,311,4
6960,216,2,0.0,211,4
7133,338,2,0.0,121,4
6987,285,2,0.0,211,4
6777,149,2,0.0,331,4
6625,648,2,0.0,121,4
6794,285,2,0.0,211,4
6660,460,2,0.0,111,4
6583,644,2,0.0,121,4
6910,653,2,0.0,121,4
7145,107,2,0.0,431,4
6957,453,3,0.0,131,4
7073,354,2,0.0,121,4
6711,182,2,0.0,311,4
6752,400,2,0.0,121,4
6635,179,2,0.0,311,4
6912,401,2,0.0,121,4
6680,359,2,0.0,121,4
7156,596,2,0.0,121,4
6622,569,5,0.0,141,4
6738,261,4,0.0,241,4
7164,107,2,0.0,431,4
6811,655,2,0.0,121,4
6774,704,2,0.0,121,4
7059,593,2,0.0,121,4
6606,485,2,0.0,121,4
6636,645,2,0.0,121,4
6548,22,2,99.0,431,2
6524,656,2,368.0,121,0
6537,647,2,368.0,121,0
6513,640,2,388.0,121,0
6497,396,2,398.0,121,0
6479,644,2,404.0,121,0
6465,591,2,417.0,121,0
6437,708,2,418.0,121,0
6417,489,2,422.0,121,0
6378,696,2,428.0,121,0
6129,690,2,458.0,121,0
6208,282,2,458.0,211,0
6124,591,2,458.0,121,0
6140,503,2,458.0,111,0
6197,423,2,458.0,121,0
6241,499,2,458.0,111,0
6093,18,7,474.0,441,1
6074,221,3,478.0,231,2
5348,225,2,498.0,211,2
5756,328,2,498.0,121,0
5567,291,2,498.0,211,0
5311,256,3,498.0,241,2
5275,188,2,498.0,311,2
5279,333,6,498.0,141,1
5573,109,2,498.0,321,2
5200,461,3,504.0,131,0
5197,487,2,504.0,121,0
5174,656,2,538.0,121,0
5158,641,2,539.0,121,0
5147,640,2,539.0,121,0
5105,199,2,548.0,211,2
5097,110,3,548.0,341,2
5077,657,4,564.0,141,0
5076,485,2,566.0,121,0
5045,92,2,568.0,421,2
5032,293,2,596.0,211,0
5024,368,2,598.0,121,0
4977,538,3,599.0,131,0
4954,574,2,599.0,111,0
4976,603,2,599.0,121,0
4952,590,4,599.0,141,0
4971,570,3,599.0,131,0
4920,533,2,624.0,111,0
4853,145,3,648.0,341,2
4815,634,2,649.0,121,0
4825,636,2,649.0,121,0
4820,639,2,649.0,121,0
4801,625,2,649.0,121,0
4805,614,2,649.0,121,0
4822,636,2,649.0,121,0
4747,256,2,666.15,211,2
4702,288,2,696.0,211,0
4664,322,2,698.0,121,0
4662,484,2,699.0,121,0
4656,480,2,699.0,121,0
4643,145,2,709.85,331,2
4527,452,2,721.8,111,0
4516,356,2,728.0,121,0
4474,396,2,728.0,121,0
4409,508,2,748.0,111,0
4344,471,2,759.0,121,0
4329,435,2,763.65,121,0
4295,292,2,777.0,211,0
4273,513,2,786.0,111,0
4266,367,2,796.0,121,0
4259,381,2,796.0,121,0
4263,442,2,796.0,121,0
4206,349,2,798.0,121,0
4117,262,2,798.0,211,2
4108,324,2,798.0,121,0
4046,564,2,799.0,111,0
4006,336,2,809.1,121,0
3997,292,2,816.0,211,0
3987,538,2,818.0,111,0
3963,113,2,831.0,321,2
3959,688,2,835.0,121,0
3958,654,2,836.0,121,0
3943,403,5,848.0,141,1
3924,291,2,848.0,211,0
3938,226,3,848.0,241,2
3849,-5,2,854.0,431,2
3767,384,2,876.0,121,0
3746,285,2,886.0,211,0
3733,223,2,896.15,211,2
3605,568,2,899.0,111,0
3639,173,2,899.0,311,2
3586,191,5,899.0,241,1
3422,125,3,899.0,331,2
3496,202,2,899.0,211,2
3456,171,2,899.0,311,2
3428,309,2,899.0,221,0
3319,288,2,902.15,211,0
3317,643,2,907.0,121,0
3316,596,2,908.0,121,0
3311,521,2,915.0,111,0
3308,108,2,915.75,431,2
3307,509,2,916.0,111,0
3306,339,2,916.2,121,0
3299,180,2,919.15,311,2
3278,249,2,936.15,211,2
3276,174,2,936.15,311,2
3275,139,2,936.15,331,2
3280,46,2,936.15,421,2
3272,158,2,936.15,331,2
3274,142,2,936.15,331,2
3279,146,2,936.15,331,2
3277,188,2,936.15,321,2
3273,320,2,936.15,121,0
3260,146,2,938.05,331,2
3254,342,2,946.0,121,0
3255,398,2,946.0,121,0
3253,450,2,947.0,111,0
3117,423,2,956.0,121,0
3115,221,2,956.0,211,2
3118,170,2,956.0,311,2
3114,194,2,956.0,211,2
3113,180,2,956.0,311,2
3116,127,2,956.0,321,2
3094,200,2,958.0,211,2
3102,83,2,958.0,431,2
3090,12,2,961.0,431,2
3075,506,2,976.0,111,0
3074,176,2,976.0,311,2
3076,71,2,976.0,421,2
3069,297,2,976.05,211,0
3071,299,2,976.05,211,0
3072,306,2,976.05,221,0
3073,143,2,976.05,331,2
3070,163,2,976.05,311,2
3027,278,2,995.15,211,2
3026,91,2,995.65,421,2
3016,309,2,996.0,221,0
3018,188,2,996.0,311,2
3020,307,2,996.0,221,0
3015,187,2,996.0,311,2
3010,216,2,996.0,211,2
3019,345,2,996.0,121,0
3021,229,2,996.0,211,2
3013,215,2,996.0,211,2
3023,314,2,996.0,221,0
3022,268,2,996.0,211,2
3025,306,2,996.0,221,0
3017,187,2,996.0,311,2
3011,148,2,996.0,331,2
3024,150,2,996.0,331,2
3014,255,2,996.0,211,2
3012,357,2,996.0,121,0
2988,197,3,998.0,241,2
2970,460,2,998.35,111,0
2755,308,2,999.0,221,0
2670,354,2,999.0,121,0
2657,457,2,999.0,111,0
2777,453,2,999.0,111,0
2598,462,2,1006.0,121,0
2597,650,2,1007.0,121,0
2585,357,2,1012.15,121,0
2576,101,2,1016.0,421,2
2560,527,2,1022.15,111,0
2558,299,2,1023.55,211,0
2554,359,2,1026.0,121,0
2535,379,4,1037.0,141,0
2534,452,2,1038.0,111,0
2519,338,2,1046.0,121,0
